"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Groovy", "Properties", "XML", "JSON", "Swift", "HTML", "Shell Script", "comment", "blank", "total"
"/Users/csells/Code/Other/flutter_ai_toolkit/CHANGELOG.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 105
"/Users/csells/Code/Other/flutter_ai_toolkit/README.md", "Markdown", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 133
"/Users/csells/Code/Other/flutter_ai_toolkit/analysis_options.yaml", "YAML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/csells/Code/Other/flutter_ai_toolkit/deploy-demo.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/csells/Code/Other/flutter_ai_toolkit/example/analysis_options.yaml", "YAML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 32
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 8, 7, 49
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 11, 2, 33
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
